,title,text,url,date
0,Turk­ish court re­jects de­lay in case over pro-Kur­dish HDP clo­sure,The HDP won 12 per­cent of the vote in the 2018 par­lia­men­tary elec­tions [Umit Bek­tas/Reuters] Turkey’s top court has re­ject­ed a re­quest by the pro-Kur­dish Peo­ples’ De­mo­c­ra­t­ic Par­ty (HDP) to ...,https://www.aljazeera.com/news/2023/1/26/turkish-court-rejects-delay-to-pro-kurdish-party-closure-trial,26 Jan 2023
1,"Turkey post­pones NATO meet­ing with Swe­den, Fin­land: State TV",24 Jan 2023 Turkey has in­def­i­nite­ly post­poned a new round of talks with Swe­den and Fin­land on the Nordic neigh­bours’ NATO mem­ber­ship bids in the wake of Rus­sia’s in­va­sion of Ukraine last...,https://www.aljazeera.com/news/2023/1/24/turkey-postpones-nato-meeting-with-sweden-finland-state-tv,26 Jan 2023
2,"Turk­ish anger af­ter Quran burn­ing, Kurd protests in Swe­den ...",21 Jan 2023 Turkey de­nounced Swe­den af­ter protests in front of its em­bassy in Stock­holm in­clud­ing the burn­ing of a Quran by far-right sup­port­ers and a sep­a­rate demon­stra­tion by Kur­dish ac­tivists....,https://www.aljazeera.com/news/2023/1/21/turkey-cancels-swedish-minister-visit-over-right-wing-protest,26 Jan 2023
3,Er­do­gan warns Swe­den on NATO bid af­ter Quran burn­ing protest,Turkey and Hun­gary are the only NATO mem­bers not to have rat­i­fied the Nordic neigh­bours’ his­toric de­ci­sion to break their tra­di­tion of mil­i­tary non-align­ment in re­sponse to Rus­sia’s in­va­sion of...,https://www.aljazeera.com/news/2023/1/23/erdogan-to-sweden-dont-expect-turkish-support-for-nato-bid,26 Jan 2023
4,Er­do­gan says Turk­ish elec­tions to be held on May 14,"The op­po­si­tion has blamed Turkey’s eco­nom­ic down­turn and an ero­sion of civ­il rights and free­doms on the 68-year-old Er­do­gan, say­ing the re­vised gov­ern­ment sys­tem amounts to “one-man rule”.",https://www.aljazeera.com/news/2023/1/22/turkish-elections-to-be-held-on-may-14-says-erdogan,26 Jan 2023
5,Time­line of po­lit­i­cal re­la­tions be­tween Swe­den and Turkey,"Turkey lift­ed its veto over Fin­land and Swe­den’s NATO bid af­ter four hours of talks just be­fore a NATO sum­mit be­gan in Madrid. Turkey’s jus­tice min­is­ter an­nounced that as part of the deal, his...",https://www.aljazeera.com/news/2023/1/22/timeline-political-tensions-between-sweden-and-turkey,26 Jan 2023
6,Turkey | To­day's lat­est from Al Jazeera,Turkey | To­day's lat­est from Al Jazeera Turkey Er­­do­­gan warns Swe­­den on NATO bid af­ter Quran burn­ing protest Turk­ish pres­i­­dent says Swe­­den should not ex­pect Ankara’s sup­­port in its...,https://www.aljazeera.com/where/turkey,26 Jan 2023
7,Gi­ant chess­board: Is­tan­bul ship-spot­ters mon­i­tor moves for war - Al Jazeera,"24 Jan 2022 Is­tan­bul, Turkey – A light snow falls on Is­tan­bul as Yoruk Isik boards a fer­ry and climbs up­stairs, pass­ing up the cosy en­closed low­er deck where tourists and com­muters sip tea for...",https://www.aljazeera.com/news/2022/1/24/giant-chessboard-istanbul-ship-spotters-monitor-moves-for-war,26 Jan 2023
8,Rus­sia’s Ukraine loss­es are Turkey’s gains | Rus­sia-Ukraine war | Al ...,Fear of Turkey has been a key rea­son for Ar­me­nia’s align­ment with Rus­sia in terms of for­eign and se­cu­ri­ty pol­i­cy. But af­ter Azer­bai­jan de­feat­ed the Ar­me­ni­ans in Nagorno-Karabakh back in No­vem­ber...,https://www.aljazeera.com/opinions/2022/9/15/russias-ukraine-losses-are-turkeys-gains,26 Jan 2023
9,Turkey’s in­fla­tion jumped to 24-year high of 79.6 per­cent in July,Turkey’s in­fla­tion jumped to 24-year high of 79.6 per­cent in July Turkey’s in­fla­tion has been fu­elled by the lira’s con­tin­ued de­cline as well as the eco­nom­ic con­se­quences of Rus­sia’s in­va­sion...,https://www.aljazeera.com/economy/2022/8/3/turkeys-inflation-jumped-to-24-year-high-of-79-6-percent-in-july,26 Jan 2023
